taxonomy,term_name_ja,term_slug_ja,parent_slug_ja,term_name_en,term_slug_en,parent_slug_en,term_name_fr,term_slug_fr,parent_slug_fr,term_name_zh,term_slug_zh,parent_slug_zh,depth
project_domain,食料生産,food-production,,Food Production,food-production,,Production alimentaire,food-production,,食品生产,food-production,,1
project_domain,ヘルスケア,healthcare,,Healthcare,healthcare,,Soins de santé,healthcare,,医疗保健,healthcare,,1
project_domain,都市開発,urban-development,,Urban Development,urban-development,,Développement urbain,urban-development,,城市发展,urban-development,,1
