taxonomy,term_name_ja,term_slug_ja,parent_slug_ja,term_name_en,term_slug_en,parent_slug_en,term_name_fr,term_slug_fr,parent_slug_fr,term_name_zh,term_slug_zh,parent_slug_zh,depth
area,アフリカ・ブルキナファソ,africa-burkina-faso,,Africa - Burkina Faso,africa-burkina-faso,,Afrique - Burkina Faso,africa-burkina-faso,,非洲-布基纳法索,africa-burkina-faso,,1
area,日本・東京,japan-tokyo,,Japan - Tokyo,japan-tokyo,,Japon - Tokyo,japan-tokyo,,日本-东京,japan-tokyo,,1
area,日本・三重県,japan-mie,,Japan - Mie,japan-mie,,Japon - Mie,japan-mie,,日本-三重,japan-mie,,1
