taxonomy,term_name_ja,term_slug_ja,parent_slug_ja,term_name_en,term_slug_en,parent_slug_en,term_name_fr,term_slug_fr,parent_slug_fr,term_name_zh,term_slug_zh,parent_slug_zh,depth
member_cat,代表理事,founder-and-president,,代表理事,founder-and-president,,代表理事,founder-and-president,,代表理事,founder-and-president,,1
member_cat,理事,director,,理事,director,,理事,director,,理事,director,,1
member_cat,リサーチャー,researcher,,リサーチャー,researcher,,リサーチャー,researcher,,リサーチャー,researcher,,1
member_cat,ナビゲーター,navigator,,ナビゲーター,navigator,,ナビゲーター,navigator,,ナビゲーター,navigator,,1
