taxonomy,term_name_ja,term_slug_ja,parent_slug_ja,term_name_en,term_slug_en,parent_slug_en,term_name_fr,term_slug_fr,parent_slug_fr,term_name_zh,term_slug_zh,parent_slug_zh,depth
post_tag,京都大学「社会的共通資本と未来」寄附研究部門,social-common-capital-and-the-future,,Kyoto University Endowed Research Division on \"Social Common Capital and the Future\",social-common-capital-and-the-future,,Division de recherche dotée de l\'Université de Kyoto sur « Le capital social commun et l\'avenir »,social-common-capital-and-the-future,,京都大学“社会共同资本与未来”捐赠研究部门,social-common-capital-and-the-future,,1
post_tag,シネコポータル,syneco-portal,,Syneco Portal,syneco-portal,,Portail Syneco,syneco-portal,,Syneco门户,syneco-portal,,1
