taxonomy,term_name_ja,term_slug_ja,parent_slug_ja,term_name_en,term_slug_en,parent_slug_en,term_name_fr,term_slug_fr,parent_slug_fr,term_name_zh,term_slug_zh,parent_slug_zh,depth
category,メディア掲載,media-coverage,,メディア掲載,media-coverage,,メディア掲載,media-coverage,,メディア掲載,media-coverage,,1
category,イベント情報,events,,イベント情報,events,,イベント情報,events,,イベント情報,events,,1
category,寄付金使途報告,donation-usage-report,,寄付金使途報告,donation-usage-report,,寄付金使途報告,donation-usage-report,,寄付金使途報告,donation-usage-report,,1
category,スポンサー募集,sponsorship-opportunities,,スポンサー募集,sponsorship-opportunities,,スポンサー募集,sponsorship-opportunities,,スポンサー募集,sponsorship-opportunities,,1
